hermes-1  | [plugins] DEBUG HERMES_PLUGINS_DEBUG=1 — verbose plugin discovery logging enabled
hermes-1  | [plugins] DEBUG Project plugins disabled (set HERMES_ENABLE_PROJECT_PLUGINS=1 to enable)
hermes-1  | [plugins] DEBUG   entrypoints: 0 manifest(s)
hermes-1  | [plugins] DEBUG Loading plugin 'disk-cleanup' (source=bundled, kind=standalone, path=/app/plugins/disk-cleanup)
hermes-1  | [plugins] DEBUG Plugin disk-cleanup registered hook: post_tool_call
hermes-1  | [plugins] DEBUG Plugin disk-cleanup registered hook: on_session_end
hermes-1  | [plugins] DEBUG Plugin disk-cleanup registered command: /disk-cleanup
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 2 hook(s), 1 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Skipping 'google_meet' (not in plugins.enabled)
hermes-1  | [plugins] DEBUG Loading plugin 'image_gen/openai' (source=bundled, kind=backend, path=/app/plugins/image_gen/openai)
hermes-1  | [plugins] INFO Plugin 'openai' registered image_gen provider: openai
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'image_gen/openai-codex' (source=bundled, kind=backend, path=/app/plugins/image_gen/openai-codex)
hermes-1  | [plugins] INFO Plugin 'openai-codex' registered image_gen provider: openai-codex
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'image_gen/xai' (source=bundled, kind=backend, path=/app/plugins/image_gen/xai)
hermes-1  | [plugins] INFO Plugin 'xai' registered image_gen provider: xai
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Skipping 'observability/langfuse' (not in plugins.enabled)
hermes-1  | [plugins] DEBUG Loading plugin 'spotify' (source=bundled, kind=backend, path=/app/plugins/spotify)
hermes-1  | [plugins] DEBUG Plugin spotify registered tool: spotify_playback
hermes-1  | [plugins] DEBUG Plugin spotify registered tool: spotify_devices
hermes-1  | [plugins] DEBUG Plugin spotify registered tool: spotify_queue
hermes-1  | [plugins] DEBUG Plugin spotify registered tool: spotify_search
hermes-1  | [plugins] DEBUG Plugin spotify registered tool: spotify_playlists
hermes-1  | [plugins] DEBUG Plugin spotify registered tool: spotify_albums
hermes-1  | [plugins] DEBUG Plugin spotify registered tool: spotify_library
hermes-1  | [plugins] DEBUG   registered: 7 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Skipping 'teams_pipeline' (not in plugins.enabled)
hermes-1  | [plugins] DEBUG Loading plugin 'video_gen/fal' (source=bundled, kind=backend, path=/app/plugins/video_gen/fal)
hermes-1  | [plugins] INFO Plugin 'fal' registered video_gen provider: fal
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'video_gen/xai' (source=bundled, kind=backend, path=/app/plugins/video_gen/xai)
hermes-1  | [plugins] INFO Plugin 'xai' registered video_gen provider: xai
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'web/brave_free' (source=bundled, kind=backend, path=/app/plugins/web/brave_free)
hermes-1  | [plugins] INFO Plugin 'web-brave-free' registered web provider: brave-free
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'web/ddgs' (source=bundled, kind=backend, path=/app/plugins/web/ddgs)
hermes-1  | [plugins] INFO Plugin 'web-ddgs' registered web provider: ddgs
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'web/exa' (source=bundled, kind=backend, path=/app/plugins/web/exa)
hermes-1  | [plugins] INFO Plugin 'web-exa' registered web provider: exa
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'web/firecrawl' (source=bundled, kind=backend, path=/app/plugins/web/firecrawl)
hermes-1  | [plugins] INFO Plugin 'web-firecrawl' registered web provider: firecrawl
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'web/parallel' (source=bundled, kind=backend, path=/app/plugins/web/parallel)
hermes-1  | [plugins] INFO Plugin 'web-parallel' registered web provider: parallel
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'web/searxng' (source=bundled, kind=backend, path=/app/plugins/web/searxng)
hermes-1  | [plugins] INFO Plugin 'web-searxng' registered web provider: searxng
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'web/tavily' (source=bundled, kind=backend, path=/app/plugins/web/tavily)
hermes-1  | [plugins] INFO Plugin 'web-tavily' registered web provider: tavily
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'google_chat-platform' (source=bundled, kind=platform, path=/app/plugins/platforms/google_chat)
hermes-1  | [plugins] DEBUG Plugin google_chat-platform registered platform: google_chat
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'irc-platform' (source=bundled, kind=platform, path=/app/plugins/platforms/irc)
hermes-1  | [plugins] DEBUG Plugin irc-platform registered platform: irc
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'line-platform' (source=bundled, kind=platform, path=/app/plugins/platforms/line)
hermes-1  | [plugins] DEBUG Plugin line-platform registered platform: line
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'teams-platform' (source=bundled, kind=platform, path=/app/plugins/platforms/teams)
hermes-1  | [plugins] DEBUG Plugin teams-platform registered platform: teams
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'anchors' (source=user, kind=standalone, path=/home/hermes/.hermes/plugins/anchors)
hermes-1  | [plugins] DEBUG Plugin anchors registered hook: on_session_start
hermes-1  | [plugins] DEBUG Plugin anchors registered hook: pre_tool_call
hermes-1  | [plugins] DEBUG Plugin anchors registered command: /lock
hermes-1  | [plugins] DEBUG Plugin anchors registered command: /skip
hermes-1  | [plugins] DEBUG Plugin anchors registered command: /cancel
hermes-1  | [plugins] DEBUG Plugin anchors registered command: /confirm
hermes-1  | [plugins] DEBUG Plugin anchors registered CLI command: new
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 2 hook(s), 4 slash command(s), 1 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'durability' (source=user, kind=standalone, path=/home/hermes/.hermes/plugins/durability)
hermes-1  | [plugins] DEBUG Plugin durability registered hook: pre_tool_call
hermes-1  | [plugins] DEBUG Plugin durability registered hook: post_tool_call
hermes-1  | [plugins] DEBUG Plugin durability registered hook: post_tool_call
hermes-1  | [plugins] DEBUG Plugin durability registered hook: on_session_start
hermes-1  | [plugins] DEBUG Plugin durability registered hook: on_session_start
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'evaluators' (source=user, kind=standalone, path=/home/hermes/.hermes/plugins/evaluators)
hermes-1  | [plugins] DEBUG Plugin evaluators registered hook: post_tool_call
hermes-1  | [plugins] DEBUG Plugin evaluators registered hook: pre_llm_call
hermes-1  | [plugins] DEBUG Plugin evaluators registered hook: on_session_end
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 1 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'kanban' (source=user, kind=standalone, path=/home/hermes/.hermes/plugins/kanban)
hermes-1  | [plugins] DEBUG Plugin kanban registered hook: pre_tool_call
hermes-1  | [plugins] DEBUG Plugin kanban registered hook: post_tool_call
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'memory' (source=user, kind=standalone, path=/home/hermes/.hermes/plugins/memory)
hermes-1  | [plugins] DEBUG Plugin memory registered command: /forget
hermes-1  | [plugins] DEBUG Plugin memory registered command: /rejections
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 0 hook(s), 2 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] DEBUG Loading plugin 'observability' (source=user, kind=standalone, path=/home/hermes/.hermes/plugins/observability)
hermes-1  | [plugins] DEBUG Plugin observability registered hook: on_session_start
hermes-1  | [plugins] DEBUG Plugin observability registered hook: pre_tool_call
hermes-1  | [plugins] DEBUG Plugin observability registered hook: post_tool_call
hermes-1  | [plugins] DEBUG Plugin observability registered hook: pre_llm_call
hermes-1  | [plugins] DEBUG Plugin observability registered hook: post_llm_call
hermes-1  | [plugins] DEBUG Plugin observability registered hook: post_api_request
hermes-1  | [plugins] DEBUG   registered: 0 tool(s), 2 hook(s), 0 slash command(s), 0 CLI command(s)
hermes-1  | [plugins] INFO Plugin discovery complete: 27 found, 24 enabled
hermes-1  | ┌─────────────────────────────────────────────────────────┐
hermes-1  | │           ⚕ Hermes Gateway Starting...                 │
hermes-1  | ├─────────────────────────────────────────────────────────┤
hermes-1  | │  Messaging platforms + cron scheduler                    │
hermes-1  | │  Press Ctrl+C to stop                                   │
hermes-1  | └─────────────────────────────────────────────────────────┘
hermes-1  |
hermes-1  | WARNING tools.mcp_tool: MCP server 'github' initial connection failed (attempt 1/3), retrying in 1s: unhandled errors in a TaskGroup (1 sub-exception)
hermes-1  | WARNING tools.mcp_tool: MCP server 'context7' initial connection failed (attempt 1/3), retrying in 1s: unhandled errors in a TaskGroup (1 sub-exception)
hermes-1  | WARNING tools.mcp_tool: MCP server 'github' initial connection failed (attempt 2/3), retrying in 2s: unhandled errors in a TaskGroup (1 sub-exception)
hermes-1  | WARNING tools.mcp_tool: MCP server 'context7' initial connection failed (attempt 2/3), retrying in 2s: unhandled errors in a TaskGroup (1 sub-exception)
hermes-1  | WARNING tools.mcp_tool: MCP server 'github' initial connection failed (attempt 3/3), retrying in 4s: unhandled errors in a TaskGroup (1 sub-exception)
hermes-1  | WARNING tools.mcp_tool: MCP server 'context7' initial connection failed (attempt 3/3), retrying in 4s: unhandled errors in a TaskGroup (1 sub-exception)
hermes-1  | WARNING tools.mcp_tool: MCP server 'github' failed initial connection after 3 attempts, giving up: unhandled errors in a TaskGroup (1 sub-exception)
hermes-1  | WARNING tools.mcp_tool: MCP server 'context7' failed initial connection after 3 attempts, giving up: unhandled errors in a TaskGroup (1 sub-exception)
hermes-1  | WARNING tools.mcp_tool: Failed to connect to MCP server 'github': Client error '401 Unauthorized' for url 'http://github-mcp:8003'
hermes-1  | For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/401
hermes-1  | WARNING tools.mcp_tool: Failed to connect to MCP server 'context7': Session terminated
hermes-1  | WARNING gateway.run: Telegram: python-telegram-bot not installed
hermes-1  | WARNING gateway.run: No adapter available for telegram
hermes-1  | WARNING gateway.run: No adapter could be created for any of the 1 configured platform(s). Check that required dependencies are installed and credentials are set. Gateway will continue for cron job execution.
